timestamp,target
01-01-1980 18:00,5172.1
01-01-1981 00:00,5133.5
01-01-1982 00:00,5133.3
01-01-1983 06:00,5186.4
01-01-1984 06:00,5576.6
01-01-1985 06:00,5576.8
01-01-1986 06:00,5576.1
01-01-1987 12:00,5084.3
01-01-1988 18:00,5182.3
01-01-1989 00:00,6087.8
01-01-1990 06:00,5576.2
01-01-91 00:00,5414.2
01-01-92 00:00,5414.3
01-01-93 06:00,5576.2
01-01-94 12:00,5752.9
01-01-95 18:00,7230.6
01-01-96 18:00,5955.2
01-01-97 00:00,6087.1
01-01-98 00:00,6087.0
01-01-99 00:00,6087.6
01-01-01 06:00,7073.5
01-01-02 06:00,6238.9
01-01-03 18:00,7230.6
01-01-04 06:00,7073.5
01-01-05 06:00,6238.1
01-01-06 06:00,6238.9
01-01-07 06:00,7073.5
01-01-08 06:00,5576.2
01-01-09 00:00,6361.0
01-01-10 12:00,6317.2
01-01-11 18:00,6262.7
01-01-12 18:00,7230.6
01-01-13 18:00,7230.2
01-01-14 00:00,6361.0
01-01-15 06:00,6427.4
01-01-16 06:00,6427.4
01-01-17 18:00,7230.6
01-01-18 12:00,6654.9
01-01-19 18:00,6835.4
01-01-20 00:00,6925.5
01-01-21 00:00,6935.5
01-01-22 06:00,7073.5
01-01-23 06:00,7339.2
